name,category,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
lime,Fruit,100g,29.6,0.2,0,0,2,10.6,2.9,1.7,0.7
bitter melon,Fruit,100g,19.4,0.2,0,0,6,4.4,2,1.9,0.8
dragonfruit,Fruit,100g,31.3,0.3,0,0,3,7.3,1.5,4.5,0.6
jackfruit,Fruit,100g,94.9,0.6,0.2,0,2,23.4,1.5,19,1.7
persimmon,Fruit,100g,69.4,0.2,0,0,0,18.8,3.6,12.6,0.6
orange,Fruit,100g,50.4,0.1,0,0,1,12.4,2.2,8.4,0.9
berry,Fruit,100g,51,0.5,0,0,1,12,6.4,4.5,1
cabbage,Fruit,100g,23.4,0.1,0,0,7,5.5,1.9,2.8,1.3
rambutan,Fruit,100g,81.8,0.2,0,0,10,21.1,0.9,0,0.7
fruit,Fruit,100g,60.8,0.3,0,0,1,15.3,2,10.1,0.8
melon,Fruit,100g,33.6,0.2,0.1,0,16,8.3,0.9,7.8,0.8
hazelnut,Fruit,100g,656.2,61.5,4.5,0,0,17.8,9.4,4.9,14.9
pizza,Junk Food,100g,262.9,9.8,4.5,16,587,32.9,2.3,3.6,11.4
burger,Junk Food,100g,237.7,11.5,4.7,53,356,18.1,0,0,15.2
fries,Junk Food,100g,317.7,14.8,2.3,0,212,41.1,3.8,0.3,3.4
chocolate,Junk Food,100g,540.2,29.4,18.6,23,78,58.9,3.4,51.4,7.8
ice cream,Junk Food,100g,207.1,11,6.8,44,78,23.6,0.7,21.3,3.5
donut,Junk Food,100g,415.9,22.3,9.5,30,312,47,2.1,22.7,6.1
taco,Junk Food,100g,205.3,9.6,4.2,24,569,20,2.9,1.6,9.2
soda,Junk Food,100g,41.9,0.2,0,0,2,10.2,0,10,0
candy,Junk Food,100g,400.4,0.2,0,0,37,98.2,0,62.4,0
hot dog,Junk Food,100g,330.3,29.6,11.6,57,845,2.7,0,1.3,11.6
fried chicken,Junk Food,100g,261.5,14.6,4.1,90,85,3.1,0.1,0,28.7
nachos,Junk Food,100g,225.2,17.3,7.1,52,315,4.8,0.7,1.8,12.2
